232;682.7586059570;3306;3306;CEA
233;678.9699707031;3317;3317;CF5
234;675.2137451171;3329;3329;D01
235;671.4893188476;3341;3341;D0D
236;667.7966308593;3352;3352;D18
237;664.1350097656;3364;3364;D24
238;660.5042724609;3375;3375;D2F
239;656.9037475585;3387;3387;D3B
240;653.3333740234;3398;3398;D46
241;649.7926025390;3410;3410;D52
242;646.2809448242;3421;3421;D5D
243;642.7983398437;3432;3432;D68
244;639.3442382812;3444;3444;D74
245;635.9183349609;3455;3455;D7F
246;632.5202636718;3466;3466;D8A
247;629.1498413085;3478;3478;D96
248;625.8063964843;3489;3489;DA1
249;622.4899291992;3500;3500;DAC
250;619.2000122070;3511;3511;DB7
251;615.9362792968;3523;3523;DC3
252;612.6984863281;3534;3534;DCE
253;609.4862060546;3545;3545;DD9
254;606.2991943359;3556;3556;DE4
255;603.1373291015;3567;3567;DEF
256;600.0000000000;3578;3578;DFA
257;596.8871459960;3589;3589;E05
258;593.7984619140;3600;3600;E10
259;590.7335815429;3611;3611;E1B
260;587.6923217773;3622;3622;E26
261;584.6743164062;3633;3633;E31
262;581.6793823242;3644;3644;E3C
263;578.7072143554;3655;3655;E47
264;575.7575683593;3666;3666;E52
265;572.8302001953;3677;3677;E5D
266;569.9248046875;3688;3688;E68
267;567.0411987304;3699;3699;E73
268;564.1790771484;3709;3709;E7D
269;561.3382568359;3720;3720;E88
270;558.5184936523;3731;3731;E93
271;555.7195434570;3742;3742;E9E
272;552.9411621093;3753;3753;EA9
273;550.1831665039;3763;3763;EB3
274;547.4452514648;3774;3774;EBE
275;544.7272949218;3785;3785;EC9
276;542.0289916992;3795;3795;ED3
277;539.3501586914;3806;3806;EDE
278;536.6906738281;3817;3817;EE9
279;534.0501708984;3827;3827;EF3
280;531.4285888671;3838;3838;EFE
281;528.8256225585;3848;3848;F08
282;526.2410888671;3859;3859;F13
283;523.6749267578;3870;3870;F1E
284;521.1267700195;3880;3880;F28
285;518.5964965820;3891;3891;F33
286;516.0839233398;3901;3901;F3D
287;513.5888671875;3912;3912;F48
288;511.1111145019;3922;3922;F52
289;508.6505432128;3932;3932;F5C
290;506.2069091796;3943;3943;F67
291;503.7800903320;3953;3953;F71
292;501.3698730468;3964;3964;F7C
293;498.9760742187;3974;3974;F86
294;496.5986328125;3984;3984;F90
295;494.2372741699;3995;3995;F9B
296;491.8919067382;4005;4005;FA5
297;489.5622863769;4016;4016;FB0
298;487.2483215332;4026;4026;FBA
299;484.9498291015;4036;4036;FC4
300;482.6666870117;4046;4046;FCE
301;480.3986511230;4057;4057;FD9
302;478.1456909179;4067;4067;FE3
303;475.9076232910;4077;4077;FED
304;473.6842041015;4087;4087;FF7
305;471.4754028320;4098;4098;1002
306;469.2810668945;4108;4108;100C
